r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
86,80,96,76,75,100,100,0.396042,0.138502,200
77,76,185,98,193,98.08,100,0.267208,0.080814,198.08
116,119,103,134,53,94.45,100,0.00147,0.250748,194.45
197,145,169,137,62,100,100,0.563562,0.103538,200
152,102,60,199,121,100,100,0.00116,0.219468,200
182,112,159,64,72,78.48,100,0.00221,0.734872,178.48
133,69,196,169,138,63.02,100,0.00238,0.00175,163.02
51,117,53,181,40,70.41,95.94,0.00245,0.00214,166.35
136,147,172,79,57,70.52,90.34,0.00236,0.00226,160.86
166,52,176,73,153,0,0,0.185061,0.191393,0
28,188,115,144,175,0,0,0.172661,0.183638,0
74,193,145,59,113,0,0,0.200221,0.185981,0
84,99,83,112,159,0,0,0.195761,0.203572,0
136,134,75,57,160,0,0,0.182646,0.184645,0
121,132,106,118,120,0,0,0.185174,0.187791,0
170,55,174,60,82,18.06,30.03,0.00161,0.00223,48.09
26,130,90,166,117,100,100,0.218227,0.102073,200
92,82,192,46,195,100,100,0.140805,0.081201,200
145,112,197,181,186,100,100,0.129848,0.073245,200
52,194,59,175,31,100,100,0.22245,0.080284,200
56,185,192,51,101,100,100,0.391907,0.122297,200
144,153,29,192,92,100,100,0.216701,0.108916,200
84,81,86,90,193,100,100,0.16097,0.079509,200
102,48,192,99,173,100,100,0.282832,0.09904,200
146,55,149,45,93,96.95,100,0.0017,0.401595,196.95
164,126,26,163,74,100,100,0.319605,0.122913,200
200,40,96,175,166,100,100,0.239886,0.105382,200
66,187,69,126,103,100,100,0.333413,0.102569,200
50,188,124,71,181,100,100,0.209096,0.097689,200
127,68,180,160,49,100,100,0.343837,0.095986,200
96,48,52,157,28,100,100,0.389301,0.0846,200
95,96,38,35,142,100,100,0.368443,0.101069,200
164,25,185,191,193,91.27,100,0.00226,0.538272,191.27
121,165,49,179,81,100,100,0.00122,0.233183,200
133,126,193,180,135,100,100,0.969656,0.168259,200
129,145,169,159,146,100,100,0.00148,0.215831,200
196,120,136,200,166,93.14,100,0.0023,0.343325,193.14
98,63,87,93,78,94.13,100,0.00207,0.426164,194.13
198,163,161,81,160,75.11,100,0.0019,0.716133,175.11
148,141,53,132,160,74.89,100,0.0025,0.00126,174.89
193,40,31,139,92,67.86,96.98,0.00228,0.00205,164.84
195,88,115,98,61,91.66,100,0.0021,0.46863,191.66
32,141,106,68,165,86.59,100,0.00231,0.859964,186.59
28,57,53,95,97,90.71,100,0.00215,0.558949,190.71
137,87,156,146,176,87.24,100,0.00218,0.672706,187.24
127,173,99,46,95,79.8,100,0.00226,0.00103,179.8
95,188,167,116,141,70.68,100,0.00214,0.567586,170.68
145,105,190,25,25,82.04,100,0.00236,0.449262,182.04
163,147,123,111,64,81.64,100,0.00213,0.692445,181.64
170,61,32,27,139,100,100,0.298561,0.086447,200
80,44,136,96,149,91.25,99.74,0.00223,0.308803,190.99
117,88,94,47,176,100,100,0.88887,0.139789,200
132,100,198,83,57,100,100,0.00106,0.22738,200
82,177,28,129,63,100,100,0.864947,0.167538,200
25,37,45,183,32,100,100,0.0013,0.231433,200
157,128,178,40,45,100,100,0.929853,0.185272,200
119,120,116,66,78,100,100,0.0012,0.205783,200
152,80,116,100,47,97.61,100,0.00191,0.449949,197.61
144,61,179,136,126,90.98,100,0.00238,0.553512,190.98
148,122,146,80,165,93.88,100,0.00164,0.312328,193.88
141,68,58,58,183,100,100,0.00152,0.245777,200
28,128,109,194,137,95.23,100,0.0018,0.290243,195.23
110,58,128,132,164,90.86,100,0.00196,0.427957,190.86
49,190,160,36,160,72.96,96.4,0.00235,0.0021,169.36
105,46,191,75,71,73.43,100,0.00229,0.963227,173.43
159,171,55,120,83,98.07,100,0.00212,0.378645,198.07
170,84,54,111,104,100,100,0.00103,0.269302,200
66,113,93,35,181,100,100,0.0016,0.349271,200
33,46,134,27,175,100,100,0.676479,0.131081,200
50,138,104,121,135,100,100,0.454163,0.126302,200
183,144,81,37,94,99.88,99.88,0.477758,0.120849,199.76
50,139,69,48,120,100,100,0.00178,0.273292,200
189,159,51,88,61,99.55,100,0.0017,0.319773,199.55
167,148,164,109,80,89.59,100,0.00203,0.67827,189.59
89,38,112,189,32,100,100,0.00131,0.202144,200
44,26,161,54,107,95,100,0.00219,0.463848,195
195,45,186,118,58,97.8,100,0.00153,0.270724,197.8
166,192,187,65,183,100,100,0.00123,0.381229,200
150,187,91,143,62,84.3,100,0.00243,0.91409,184.3
101,143,184,108,194,90.51,100,0.00225,0.404001,190.51
150,84,155,50,81,90.59,100,0.00231,0.42276,190.59
78,147,66,105,27,91.06,100,0.00225,0.31485,191.06
150,153,164,132,127,78.17,100,0.00231,0.832466,178.17
109,181,80,45,68,89.02,100,0.00203,0.387837,189.02
148,159,134,164,55,92.52,100,0.00193,0.676579,192.52
25,124,100,87,146,96.07,100,0.00145,0.396799,196.07
127,37,26,169,112,89.5,100,0.00194,0.4437,189.5
167,122,102,187,159,82.6,100,0.00215,0.649658,182.6
36,78,28,59,103,94.04,100,0.00172,0.358196,194.04
