r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
92,80,84,116,132,71.02,97.04,0.0017800000000000001,0.0016899999999999999,168.06
101,141,54,127,138,51.24,75.48,0.0018,0.0019,126.72
177,180,126,133,171,47.67,71.33,0.00175,0.0019199999999999998,119.0
34,199,128,170,85,51.12,78.02,0.00171,0.0019,129.14
177,130,65,195,73,48.39,75.44,0.0017800000000000001,0.00195,123.83
177,190,125,101,172,63.23,98.19,0.0017,0.00149,161.42
27,72,102,72,164,56.13,76.09,0.0018,0.0019,132.22
126,71,64,122,33,46.54,79.92,0.00176,0.0019,126.46000000000001
53,44,154,168,164,46.82,73.88,0.00175,0.0019299999999999999,120.69999999999999
173,91,101,94,192,39.77,61.82,0.0016799999999999999,0.00186,101.59
75,177,158,30,134,47.05,67.92,0.0018,0.00195,114.97
119,44,116,138,133,71.68,100.0,0.00175,0.0012,171.68
130,87,187,27,72,62.33,96.97,0.00181,0.00156,159.3
144,148,156,25,85,53.62,78.97,0.00173,0.00189,132.59
114,105,118,111,48,53.79,81.45,0.00181,0.0017,135.24
82,143,84,49,55,55.39,85.84,0.0017800000000000001,0.00174,141.23000000000002
142,140,69,88,181,51.72,79.17,0.00177,0.00188,130.89
149,100,120,27,194,31.73,51.06,0.00125,0.00147,82.79
98,147,77,71,168,37.84,63.78,0.00173,0.00191,101.62
129,61,174,189,172,49.5,76.44,0.0017800000000000001,0.0019199999999999998,125.94
84,150,178,25,189,49.68,77.05,0.00177,0.0019299999999999999,126.72999999999999
163,94,47,88,57,54.35,91.6,0.0018,0.0017800000000000001,145.95
197,136,30,197,144,48.13,74.45,0.00176,0.0019199999999999998,122.58000000000001
75,185,121,51,183,58.8,86.23,0.00183,0.00182,145.03
130,47,60,65,171,52.63,79.0,0.0017,0.00195,131.63
92,58,56,147,146,56.04,79.62,0.00176,0.0019399999999999999,135.66
75,66,111,184,175,60.98,85.69,0.00176,0.0017900000000000001,146.67
108,184,183,95,197,54.99,84.58,0.0018,0.00186,139.57
26,90,149,35,124,58.8,85.14,0.0017800000000000001,0.00191,143.94
195,81,189,197,172,61.24,94.41,0.0017800000000000001,0.00183,155.65
106,52,48,49,25,63.38,87.78,0.0017900000000000001,0.00191,151.16
44,85,111,133,137,54.33,82.35,0.00172,0.0019,136.68
71,121,60,127,43,55.18,83.71,0.0017,0.0018700000000000001,138.89
38,33,156,130,182,62.29,88.94,0.0017800000000000001,0.00186,151.23
46,104,153,164,193,57.13,82.17,0.0017800000000000001,0.00174,139.3
26,138,150,78,47,52.65,83.41,0.0018,0.0018,136.06
133,181,60,166,112,60.74,87.6,0.00181,0.00186,148.34
160,92,119,32,95,53.87,84.55,0.00177,0.0019199999999999998,138.42
124,135,122,130,91,58.97,89.13,0.00182,0.0018700000000000001,148.1
117,187,132,29,55,60.29,95.4,0.00181,0.0017900000000000001,155.69
85,101,33,72,45,66.09,95.55,0.0017900000000000001,0.00161,161.64
162,35,111,135,158,46.81,69.38,0.0017800000000000001,0.0019399999999999999,116.19
74,98,188,40,75,45.96,66.55,0.00172,0.0019,112.50999999999999
